Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
Neutrophil to lymphocyte ratio (NLR),Other (Cell ratio),full blood count (Beckton-Coulter H250),Peripheral blood,Diagnostic,Prediction of significant PCa at initial biopsy,Prostate cancer,"AUC 0.521 for N/L ratio; 1,223 participants; Chilean screening population","Murray et al., 2019",2019,Chile,-
Plasma osteoprotegerin (OPG),Protein,-,Plasma,-,Associated with breast cancer risk,Invasive breast cancer,Odds Ratio 0.36 for premenopausal in Q4; nested case-control study (297 cases),"Kotsopoulos et al., 2020",2020,USA,-
Procalcitonin and C-Reactive Protein,Protein,Blood culture (Bactex-FX 200),Blood,Diagnostic,Markers of bacteremia,Febrile Neutropenia (FN) in acute leukemia (AML/ALL),Incidence of bacteremia in chemotherapy-treated patients,"Shilpakar et al., 2019",2019,Nepal,Kathmandu
HER-2-neu gene amplification,Gene (DNA),-,Tumor cells,Prognostic,Score of positivity based on membrane staining,Epithelial Ovarian Carcinoma,Score 1+ to 3+; >10% tumor cell staining,"Pankaj et al., 2019",2019,-,-
Serum Dickopff 1 (DKK1),Protein,ELISA technique,Serum,Diagnostic,Novel diagnosis and follow-up after ablative therapy,Hepatocellular carcinoma (HCC),Highly significant DKK1 reduction 1 month after RFA/MWA intervention,"Younis et al., 2019",2019,Egypt,-
sPD-L1 and Serum Amyloid A1 (SAA1),Protein,DuoSet ELISA system,Plasma,"Diagnostic, Predictive, or Prognostic",Potential indicators in advanced metastatic disease,Lung cancer (NSCLC and SCLC),Kaplan-Meier overall survival (12 months); response to chemotherapy,"Jovanovi? et al., 2019",2019,-,-
Tumour mutational burden (TMB),Other (Mutation count),MSK-IMPACT targeted gene panel assay,Primary or metastatic tissue (FFPE),Predictive,Predict immunotherapy response,Multiple solid tumor types,Overall survival in immunotherapy-treated cohort; Hazard ratio 0.61 (primary tissue),"Schnidrig et al., 2019",2019,UK,London
"11-marker panel (TIMP1, c-MET, ARNTL, etc.)",Gene (RNA),Single Cell-to-CT and QuantiGene Plex 2.0,Fine needle aspiration (FNA) samples,Diagnostic,Preoperative diagnostics in fine needle aspirates,Papillary thyroid carcinoma (PTC),Fold change and P-value (PTC vs. benign); technically duplicated amplification,"Sadowski et al., 2019",2019,-,-
"Blood cell score (AMC, MCV, and Platelets)",Other (Cell counts),Peripheral blood cell counts,Peripheral blood,Prognostic,Evaluate prognosis in patients treated with bortezomib,Multiple myeloma (MM),Median PFS (6.4 to 42.8 months) and OS; 155 newly diagnosed patients,"Qiu et al., 2020",2020,China,Zhejiang and Zhoushan
53BP1 expression,Protein,Immunofluorescence (IF),Liquid-based cytology (LBC) from fine-needle aspiration (FNA),Diagnostic,Auxiliary histologic technique to accurately differentiate thyroid follicular tumors (FTs),Thyroid follicular tumors,Sensitivity of 90.5% and a specificity of 77.8% for differentiating FC from FA in tissue,"Sato Ayako et al., Endocrine connections",2021,Japan,Nagasaki and Kobe
Polygenic Risk Score (PRS),Other (Genetic risk score),Genomic profiling,Blood (for DNA extraction),Predictive,Predicts incident prostate cancer risk in older men,Prostate Cancer,Risk of incident prostate cancer development,"Bakshi Andrew et al., Cancers",2021,Australia and United States of America,"Melbourne, VIC; Boston, MA; St. Louis, MO"
"miR-4257, miR-6785-5p, miR-187-5p, and miR-5739",RNA,3D-Gene® highly sensitive DNA chip,Whole serum samples,Diagnostic,Discriminate early gastric cancer (EGC) samples from non-cancer controls,Early gastric cancer,AUC of 0.998 with 0.996 sensitivity and 0.953 specificity in validation set,Gastric cancer - official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,2021,Japan,Tokyo
Chromosome 7p copy number gains,DNA,Low coverage whole-genome sequencing,Plasma cell-free DNA (cfDNA),Diagnostic,Specific biomarker for early lung cancer detection,Early lung cancer,Prediction power of 12/15 (80%) for early lung cancer diagnosis,"Yu Hong-Jie et al., Neoplasma",2021,China,"Suzhou, Jiangsu"
Aberrant Plasma Cell (APC) Contamination,Other (Phenotypic cell population),Next-generation flow cytometry (NGF),Peripheral blood stem cell autografts,Predictive,Negative predictor for deep response post autologous transplantation,Multiple Myeloma,Deep response post-autologous transplantation,"Kostopoulos, I.V. et al., Cancers",2021,Greece,Athens
Perfusion fraction f and blood flow (BF),Other (Imaging biomarker),IVIM DW MRI and CT perfusion,Scan of the body (In situ),Diagnostic,Assessment of tissue perfusion in pancreatic cancer,Pancreatic cancer,Correlation with microvessel density (MVD) and microvessel area (MVA),Cancer imaging - the official publication of the International Cancer Imaging Society,2021,Germany,Not explicitly stated in abstract/snippet
Biomarker-based visceral adiposity score (VAT score),Other (Computed score from 8 biomarkers + BMI/Height),Body mass index and biomarker measurement,Blood (serum),Predictive,Predicts incident type 2 diabetes risk,Postmenopausal breast and colorectal cancer (nested study populations),Nearly three-fold increase in risk to develop type 2 diabetes per unit of VAT score,"Maskarinec Gertraud et al., Annals of epidemiology",2021,USA,"Hawaii and Los Angeles, California"
CDKN2A Deletion,DNA,P16-Light (multiplex quantitative PCR assay),Frozen fresh GC and paired surgical margin (SM) samples,Prognostic,Association with hematogenous metastasis,Gastric carcinoma,Causal relationship to hematogenous metastasis and overall survival,"Qiao Juanli et al., Frontiers in oncology",2021,China,Beijing
Th17 cell frequency,Other (T-cell population),Flow cytometry,Peripheral blood mononuclear cells (PBMC),Predictive/Prognostic,Associated with therapy resistance and cancer relapse,Cervical cancer,Recurrence-free survival (Median survival 9 months for high post-therapeutic frequency),"Theobald Laura et al., Molecular oncology",2021,Germany,Saarland (Homburg and Saarbrücken)
"Specific chromosome conformation changes (loci of ETS1, MAP3K14, SLC22A3 and CASP2)",DNA,EpiSwitch™ assay (PCR based),Peripheral blood (PBMCs),Diagnostic and Prognostic,Detection of prostate cancer and disease risk stratification,Prostate cancer,80% sensitivity/specificity for detection; achievment of up to 93% specificity for risk stratification,"Alshaker Heba et al., Journal of translational medicine",2021,UK and USA,London
"CXCL10, CXCL11, IL-6 and HGF",Protein,Luminex’s xMAP® Technology multiplex system,Serum (Blood),Prognostic,Predict outcome in mRCC patients treated with antiangiogenic therapy,Metastatic Renal Cell Carcinoma,Risk of relapse (Hazard Ratio 5.28) and overall survival,"Esteban, E. et al., Cancers",2021,Spain,"Oviedo, Pamplona, Madrid, Burgos, Zaragoza"
Circulating tumor DNA (ctDNA),DNA,Targeted gene sequencing and digital PCR (ddPCR),Plasma and whole blood,Predictive/Diagnostic,Surrogate measure of tumor development and predictor of disease relapse,Early breast cancer,Molecular relapse detection and safety of Let-COS procedure,"Rothé Françoise et al., Frontiers in oncology",2021,Belgium,Brussels
Circulating tumor DNA (ctDNA),DNA,Ultra-deep targeted sequencing using ICP v2,Blood/Plasma,Predictive and Prognostic,"Profiling tumor mutation for detection, prognostication, and treatment monitoring",Colorectal cancer,Recurrence and residual disease detection after metastasectomy,"Lee Soohyeon et al., Cancers",2021,Korea,Seoul
Serum S100A10,Protein,Enzyme-linked immunosorbent assay (ELISA),Venous blood samples (Serum),Diagnostic,Potential tumor biomarker for lung cancer,Lung cancer,Correlation with TNM stage and lymph node metastasis,"Hou Yu-Lei et al., The Journal of international medical research",2021,China,Chongqing
Coagulation Factor XIII Subunit A (FXIII-A),Protein,Plasma evaluation,Plasma,Predictive and Prognostic,Biomarker for curative effects and prognosis,"Malignant solid tumors, especially non-small cell lung cancer (NSCLC)",Continuous increase associated with rapid disease progression (PD),"Luo Yujiao et al., Frontiers in oncology",2021,China,Changsha
"Serum 25-(OH)-D, VDR, M30, LL-37 and beclin-1","Protein (VDR, M30, LL-37, beclin-1); Other (25-(OH)-D analyte)",ELISA and electrochemiluminescence immunoassay,Plasma/Serum,Prognostic,Evaluation of host immunity and inflammatory status,Inflammatory/Immunity mechanisms,Biomarker concentration changes across serial clinical visits,"Meca Andreea-Daniela et al., Experimental and therapeutic medicine",2021,Romania,Craiova
Deep MALDI® mass spectral data and AFP,Other (Mass spectral fingerprint); Protein (AFP),Deep MALDI® analysis and machine learning,Serum samples,Diagnostic,Model for early detection of hepatocellular carcinoma,Hepatocellular carcinoma (HCC),">80% sensitivity and specificity to detect HCC, including small lesions","Mahalingam Devalingam et al., Cancers",2021,USA and Greece,"Chicago, IL; San Antonio, TX; Alexandroupolis, Greece; Buffalo, NY"
12-miRNA biomarker panel,RNA,miRNA-specific RT-qPCR assays,Serum,Diagnostic,Risk assessment tool for detecting gastric cancer,Gastric cancer,Overall sensitivity of 87.0% at specificity of 68.4%; AUC 0.848,"So Jimmy Bok Yan et al., Gut",2021,Singapore and Korea,"Singapore, Seoul"
"CD244, CR2, IFNGR2, CXCL10, and IL-10",Protein,Proximity Extension Assay (PEA) technology,Plasma,Prognostic and Predictive,Identifying proteins associated with progression-free survival (PFS),Non-small cell lung cancer (NSCLC),Progression-free survival (PFS) correlations before and during treatment,"Vaes Rianne D W et al., Cancers",2021,The Netherlands and Belgium,Maastricht and Leuven
"IL-6, TNF-alpha, and TGF-alpha",Protein,Blood test and cytokine assessment,Blood,Prognostic,Evaluation of clinical outcome in patients treated with ICIs,Advanced non-small cell lung cancer (NSCLC),Categorization into clinical benefit (CB) or progression disease (PD) groups,"Tenuta Marta et al., Cancers",2021,Italy,Rome
Ki67,Protein,Automated digital image analysis (QuPath),ER+ breast cancer study cohort (tumor slides),Prognostic,Independent prognostic potential through score assessment,ER+ breast cancer,Relapse-free survival (Hazard ratios between 2.593–4.165),"Boyaci Ceren et al., Biomolecules",2021,Sweden,Stockholm
"Serum DD, FDP, CA125 and CA199",Protein,Serum level quantification,Serum,Diagnostic,Markers revealing interplay between bacteria and fibrin degradation in EC,Endometrial cancer (EC),Significant increase in levels distinguishing EC patients from healthy controls,"Li, Frontiers in cellular and infection microbiology",2021,China,Shanghai
Elevated Choline,Other (Imaging metabolite peak),1H-Magnetic Resonance Spectroscopy (1H-MRS),Scan of the body (In situ),Diagnostic,Discriminate malignant from benign breast lesions,Breast cancer,Sensitivity of 0.8 and specificity of 0.741 for detecting malignancy,"Prvulovic Bunovic Natasa et al., Frontiers in oncology",2021,Serbia,Novi Sad
Circulating Tumor Cells (CTC),Other (Cell population),immunofluorescence staining (NYONE®) and CK20 RT-qPCR,Blood,Prognostic and Predictive,Identification of high-risk patients and longitudinal treatment monitoring,Colorectal cancer,Longitudinal postoperative CTC detection indicating potential clinical relapse,"Hendricks Alexander et al., Frontiers in oncology",2021,Germany,Kiel
Circulating tumor fractions (within cell-free DNA),DNA,untargeted sequencing approach (mFAST-SeqS),Whole blood (Plasma),Predictive and Prognostic,Predict risk of disease progression during therapy,Metastatic HR+ breast cancer,Progression-free survival (PFS) and overall survival (OS),"Dandachi Nadia et al., Molecular oncology",2021,Austria,Graz
Pretreatment neutrophil-to-lymphocyte ratio (NLR),Other (Ratio of blood cells),Systematic review and meta-analysis of clinical data,Blood (collected for laboratory monitoring),Prognostic,Indicator associated with poor prognosis in RCC,Renal cell carcinoma (RCC),"Overall survival (OS), disease-free survival (DFS), and progression-free survival (PFS)","Shao Yuan et al., BMC urology",2020,Global (Meta-analysis),N/A
"Let-7a, miR-21, miR-145, miR-155, miR-195",RNA,Relative quantification PCR (RQ-PCR),Whole blood collected at diagnosis,Prognostic,Prediction of response to neoadjuvant chemotherapy (NACT),Breast cancer,Response to NACT based on Miller–Payne classification; independent predictor of pCR,"McGuire Andrew et al., Cancers",2020,Ireland,Galway
Plasma Apolipoprotein A2-Isoforms (apoA2-i),Protein,Blood testing enrichment strategy,Plasma,Diagnostic,Screen for high-risk status by increasing diagnostic probability,Pancreatic cancer,Enrichment of individuals with pancreatic diseases such as IPMN or chronic pancreatitis,"Sato Yu et al., Cancers",2020,Japan,"Kobe, Shiga, Tokyo"
S100B,Protein,Automated sandwich immunoassay (Elecsys S100),Blood samples (Serum),Diagnostic,Potential biomarker for detecting brain metastases in NSCLC,Non-small cell lung cancer (NSCLC),Presence of verified brain metastases at enrollment,"Kondrup Maria et al., Biomedical reports",2020,Denmark,"Vejle, Aarhus, Odense"
"ANOS1, DPYSL3, and MAGE-D2",Protein,Quantitative sandwich enzyme immunoassay (ELISA),Serum,Diagnostic,Discriminate gastric cancer from healthy controls,Gastric cancer,AUC values for discrimination; ANOS1 level decrease after tumor resection,"Kanda Mits et al., Gastric cancer",2020,Japan and Korea,"Nagoya, Seoul"
Tumor Tissue MIR92a and Plasma MIRs21 and 29a,RNA,RT-qPCR,Tumor tissue and plasma samples,Predictive and Prognostic,Associated with clinicopathological features and surgical resection,Colorectal cancer (CRC),Association with lymph node metastasis and treatment efficacy after operation,"Fukada Masahiro et al., Journal of clinical medicine",2020,Japan,Gifu City
miR-487a-3p,RNA,Small RNA sequencing and qRT-PCR,biopsy specimen of tumor,Predictive,Potential response predictors for 5-FU based chemoradiotherapy,Locally Advanced Rectal Cancer (LARC),Histological tumor regression grade (TRG) response,"Machackova Tana et al., Cancer genomics & proteomics",2020,Czech Republic,"Brno, Novy Jicin"
BRCA1 tumor protein expression,Protein,Immunohistochemical staining,"Archival formalin-fixed, paraffin-embedded tumor tissue (Tumor cores)",Prognostic,Association with lethal disease outcomes,Prostate Cancer,Cumulative incidence of lethal disease over 29 years of follow-up,"Stopsack Konrad H et al., Carcinogenesis",2020,USA,"New York, NY; Boston, MA; Tampa, FL"
Serum lncRNA DLEU1,RNA,Reverse transcription-quantitative polymerase chain reaction (RT-qPCR),Serum samples,Prognostic,Predicts progression of premalignant lesions and EC survival outcome,Endometrial cancer (EC),5-year overall survival (OS) and disease-free survival (DFS),"Shan Lixia et al., Technology in cancer research & treatment",2020,China,Not explicitly stated in abstract/snippet
CA199,Protein,Chemiluminescence assay kit (Roche),Blood (Serum),Diagnostic,Differentiate PDAC cases from controls,Pancreatic ductal adenocarcinoma (PDAC),"AUC, sensitivity, and specificity in distinguishing PDAC from controls","Chen Junliang et al., ""A combination of circulating tumor cells and CA199 improves the diagnosis of pancreatic cancer""",2022,China,Liaoning (Shenyang)
Circulating Tumor Cells (CTCs),Other (Intact malignant cells),Negative enrichment with immunostaining and fluorescence in situ hybridization (NE-imFISH),Blood (Peripheral),Diagnostic,Early diagnosis and surveillance of PDAC,Pancreatic ductal adenocarcinoma (PDAC),Diagnostic performance (AUC 0.85) and correlation with clinicopathological data,"Chen Junliang et al., ""A combination of circulating tumor cells and CA199 improves the diagnosis of pancreatic cancer""",2022,China,Liaoning (Shenyang)
pVEGF-Asi (Plasma VEGF-A short isoforms),Protein,Immunological multi-parametric chip technique (IMPACT-2),Blood (Plasma),Predictive,Predict the efficacy of bevacizumab (BV) therapy,Metastatic colorectal cancer (mCRC),Progression-free survival (PFS) in patients receiving first-line mFOLFOX6/XELOX plus BV,"Okamoto W. et al., ""A phase II study to explore biomarkers for the use of mFOLFOX6/XELOX plus bevacizumab as a first-line chemotherapy...""",2022,Japan,West Japan
pICAM-1 (Plasma intercellular adhesion molecule-1),Protein,Immunological multi-parametric chip technique (IMPACT-2),Blood (Plasma),Prognostic,Prognostic marker for patient outcome,Metastatic colorectal cancer (mCRC),Progression-free survival (PFS) and overall survival (OS),"Okamoto W. et al., ""A phase II study to explore biomarkers for the use of mFOLFOX6/XELOX plus bevacizumab as a first-line chemotherapy...""",2022,Japan,West Japan
tsRNA (tRNA-GlyGCC-5),RNA,RNA sequencing,Salivary exosomes,Diagnostic and Prognostic,Discriminate ESCC patients from controls and predict survival,Esophageal squamous cell carcinoma (ESCC),"Sensitivity (90.50%), Specificity (94.20%), OS, and PFS","Li Kai et al., ""A signature of saliva-derived exosomal small RNAs as predicting biomarker for esophageal carcinoma...""",2022,China,Guangdong (Shantou) and Henan (Anyang)
A-SAA (Acute-phase serum amyloid A),Protein,Protein misfolding cyclic amplification (PMCA) and ELISA,Blood (Serum),Diagnostic,Early detection of HCC in cirrhotic patients with low AFP,Hepatocellular carcinoma (HCC),Area under the ROC curve (AUROC) for discrimination between HCC and non-cancer groups,"Wu Jin-Lin et al., ""Acute-phase serum amyloid A for early detection of hepatocellular carcinoma in cirrhotic patients with low AFP level""",2022,Taiwan,Outside source scope
Septin 9 (SEPT9 gene methylation),DNA,PCR reaction to quantify methylated genes after bisulfite conversion,Blood (Plasma circulating DNA),Diagnostic and Predictive,Monitoring minimal residual disease and predicting tumor recurrence,Colorectal cancer (CRC),Sensitivity and specificity for recurrence detection at 1 month post-surgery,"Leon Arellano Miguel et al., ""Analysis of Septin 9 Gene Hypermethylation as Follow-Up Biomarker of Colorectal Cancer Patients after Curative Surgery""",2022,Spain,Madrid
miR-375-3p,RNA,TaqMan Advanced miRNA Assays / qRT-PCR,Lung tumor tissues and biopsies,Diagnostic and Prognostic,Evaluate survival outcomes and diagnostic performance,Lung cancer,Overall survival (OS) and progression-free survival (PFS),"Kumar Sachin et al., ""Analysis of miR-375-3p, miR-197-3p, and miR-15a-5p Expression and Their Clinical Relevance as Biomarkers in Lung Cancer""",2022,India,New Delhi
ALBI (Albumin-bilirubin) grade,Other (Clinical index),Calculation using formula based on albumin and bilirubin levels,Blood (Laboratory parameters),Prognostic,Independent prognostic factor for survival,Non-small-cell lung cancer (NSCLC),Progression-free survival (PFS) and overall survival (OS),"Takada K. et al., ""Assessment of the albumin-bilirubin grade as a prognostic factor in patients with non-small-cell lung cancer...""",2022,Japan,Outside source scope
Basal VEGF-A,Protein,ELISA,Blood (Plasma),Prognostic,Selecting mCRC patients likely to benefit from BV,Metastatic colorectal cancer (mCRC),Overall survival (OS) and progression-free survival (PFS),"Ortiz-Morales M. José et al., ""Basal VEGF-A and ACE Plasma Levels of Metastatic Colorectal Cancer Patients Have Prognostic Value...""",2022,Spain,Córdoba
ctDNA (Circulating tumor DNA),DNA,Droplet digital PCR (ddPCR) or PCR/DCE-based heteroduplex method,Blood (Plasma),Diagnostic and Prognostic,Precision monitoring of therapy response and prognosis estimation,Non-small cell lung cancer (NSCLC),Objective treatment response (RECIST) and progression-free survival (PFS),"Fiala Ondrej et al., ""Combination of Circulating Tumour DNA and 18F-FDG PET/CT for Precision Monitoring of Therapy Response...""",2022,Czech Republic,Pilsen and Prague
TIMP-1 (Tissue inhibitor of metalloprotease-1),Protein,Enzyme-linked immunosorbent assay (ELISA),Blood (Serum) and Saliva,Prognostic,Provide information on disease-free survival and OS,Head and neck squamous cell carcinoma (HNSCC),Disease-free survival (DFS) and overall survival (OS),"Rinecker Jakob et al., ""Comparing TIMP-1 and Hsp70 in Blood and Saliva as Potential Prognostic Markers in HNSCC""",2022,Germany,Munich
ProCAD (Prostate Cancer Chromosomal Aneuploidy Detector),DNA,Low-coverage Whole Genome Sequencing (WGS),Urine (Exfoliated cell DNA),Diagnostic,"Non-invasive screening for prostate cancer, especially high-grade tumors",Prostate cancer,Diagnostic sensitivity (81.3%–93.8%) and specificity (33.3%–100%),"Guan Youyan et al., ""Copy number variation of urine exfoliated cells by low-coverage whole genome sequencing for diagnosis...""",2022,China,Beijing
TFF3 (Trefoil factor 3),Protein,ELISA,Blood (Serum),Diagnostic and Prognostic,Discriminating EC and OC from controls; predicts advanced stages,Endometrial cancer (EC) and Ovarian cancer (OC),Sensitivity and specificity for cancer detection; correlation with disease grade,"Turan Hasan et al., ""Diagnostic and prognostic role of TFF3, Romo-1, NF-?B and SFRP4 as biomarkers for endometrial and ovarian cancers...""",2022,Turkey,Istanbul
Methylated CDO1,DNA,Quantitative methylation-specific PCR (qMSP),Urine (Cell-free DNA),Diagnostic,Non-invasive detection of NSCLC,Non-small cell lung cancer (NSCLC),Variability and reproducibility (ICC 0.74) across serial samples,"Bach Sander et al., ""Dynamics of methylated cell-free DNA in the urine of non-small cell lung cancer patients""",2022,Netherlands,Amsterdam
sEGFR (Soluble EGFR),Protein,ELISA,Blood (Serum),Prognostic,Prognostic stratification for breast cancer,Triple-negative (TN) and other breast cancer subtypes,Overall survival (OS) according to sEGFR levels,"de Araújo Rogério Agenor et al., ""Epidermal growth factor receptor (EGFR) expression in the serum of patients with triple-negative...""",2022,Brazil,Uberlândia
Ki67,Protein,Immunohistochemistry (IHC),Biopsied tissues,Prognostic,Determining cancerous transformation of OSMF,Oral Submucous Fibrosis (OSMF),Differences in intensity levels and epithelial dysplasia presence,"Kamal et al., ""Expression of Ki67 Biomarker in Oral Submucous Fibrosis with Clinico-Pathological Correlations...""",2022,India,Outside source scope
mBRAF (BRAF V600 tissue mutation),DNA,Droplet digital PCR (ddPCR),Blood (Plasma ctDNA),Diagnostic and Predictive,Rapid mBRAF assessment and monitoring treatment response,Stage IV Melanoma,Undetectable mBRAF at 12–18 weeks reflecting longer PFS and CSS,"Tolmeijer Sofie H. et al., ""Plasma BRAF Mutation Detection for the Diagnostic and Monitoring Trajectory of Patients...""",2021,Netherlands,Nijmegen/Arnhem/Zwolle
PIVKA-II,Protein,Tosoh Automated Enzyme Immunoassay Analyzer AIA-900,Blood (Serum),Predictive,Monitoring treatment response in HCC patients,Hepatocellular carcinoma (HCC),Marker trends compared to radiological response,"Sagar Vandana M. et al., ""The potential of PIVKA-II as a treatment response biomarker in hepatocellular carcinoma...""",2021,United Kingdom,Birmingham
GZMB (Granzyme B),Protein,Mass cytometry (CyTOF) and transcriptomic profiling (NanoString),Archival tumor tissues (FFPE),Prognostic,Predicting risk of relapse in adjuvant CRC,Colorectal cancer (CRC),Disease-free survival (DFS) and risk of relapse,"Daemen Anneleen et al., ""Transcriptomic profiling of adjuvant colorectal cancer identifies three key prognostic...""",2021,Multicenter (International),Outside source scope
magnitude of the complex shear modulus / shear stiffness,Other (Shear stiffness),3D SE-EPI-MRE sequences,kidney mass,Diagnostic,Preoperative prediction of microvascular invasion (MVI),clear cell renal cell carcinoma (ccRCC),"Preoperative prediction of MVI in T1 staging ccRCC mass,","Zhang HM, et al. Translational andrology and urology 2023;12(3):475-476,",2023,China,Sichuan
plasma metabolites,Other (Metabolites),"Untargeted metabolomic analysis and mass spectroscopy,",plasma,Diagnostic,Identification of novel risk factors and pathways,breast cancer,Association of 868 metabolites with breast cancer risk,"Stevens VL, et al. Breast cancer research - BCR 2023; 25:5,",2023,USA,"35 states, DC, and Puerto Rico"
prostate health index density (PHID),Other (Biomarker density score),"Serum tPSA, fPSA, and p2PSA testing with mpMRI,",Serum and prostate,Diagnostic,Diagnosing clinically significant prostate cancer (csPCa),prostate cancer,AUC for distinguishing csPCa from healthy controls,"Chen Y, et al. Investigative and clinical urology 2023",2023,China,Beijing
AFP-L3 and DCP,"Protein,",Biomarker measurements within 90 days of LT,Serum,"Prognostic,",Predict early hepatocellular carcinoma recurrence after liver transplantation,hepatocellular carcinoma (HCC),"Recurrence-free survival (RFS) predicting post-LT HCC recurrence,","Norman JS, et al. Journal of hepatology 2023; 79(6): 1469–1477",2023,USA,San Francisco
amide proton transfer imaging (APT),Other (Imaging index),single-slice frequency-stabilized CEST sequence,tumor lesion,Diagnostic,Pretreatment risk stratification of childhood neuroblastoma,neuroblastoma (NB),"AUC for stratifying high-risk from non-high-risk patients,","Jia X, et al. Quantitative imaging in medicine and surgery 2023; 13(5): 3004-3010,",2023,China,Zhejiang Province
quantitative RSIrs biomarker,Other (Imaging parameter),MRI with RSI series with four b values,prostate gland,Diagnostic,Automated patient-level prostate cancer detection,prostate cancer,ROC curves for patient-level detection of csPCa,"Zhong AY, et al. European urology open science 2023",2023,USA,San Diego
inflammatory biomarker (IL-1a and EGF),"Protein,",baseline stress measures and inflammatory analysis,Serum,Prognostic,"Risk factors for mucositis development,","Various cancers (sarcoma, lymphoma, leukemia)","Predicting incidence, peak severity, and total sum mucositis scores","Thornton CP, et al. Journal of adolescent and young adult oncology 2023",2023,USA,Mid-Atlantic region
DCEA (CEA-delta),Other (Change in protein level),assessing changes before and after chemotherapy,"tumor tissue and blood,","Prognostic,",Evaluating clinical behavior and therapeutic response,rectal cancer (RC),Response in stem cell marker expression after chemotherapy,"Lozada-Martinez ID, et al. Frontiers in oncology 2023",2023,Colombia,Cartagena
circulating cell-free DNA (cfDNA),DNA,low-pass whole-genome sequencing (WGS),plasma,Diagnostic,Early screening of ovarian cancer,ovarian cancer (OC),High accuracy in distinguishing OC patients from healthy controls,"Zhou H, et al. Journal of ovarian research 2023; 16:11,",2023,China,Beijing
circulating tumor DNA (ctDNA),DNA,ddPCR identification of GNAQ/GNA11 mutations,plasma,Prognostic,Predicting survival in resection patients,uveal melanoma (UM) liver metastases,"Relapse-free survival (RFS) after liver surgery,","Mariani P, et al. Annals of surgery 2023",2023,France,Paris
Circulating tumor cells (CTCs),Other (Cells),CellSearch immunomagnetic purification method,peripheral blood,"Prognostic and Predictive,",Predict survival and response to first-line chemotherapy,advanced non-small-cell lung cancer (NSCLC),Persistent presence representing poor prognosis and treatment resistance,"Wang Z, et al. Therapeutic advances in medical oncology 2023; 15: 1–13",2023,China,Guangdong
circulating tumour cells (CTCs),Other (Cells),CTC analysis performed utilizing RareCyte platform,peripheral blood,Prognostic,Predict treatment efficacy and tumor recurrence,metastatic gastrointestinal (GI) cancers,"enumeration correlated with cancer type, treatment, and progression","Malkawi W, et al. Frontiers in oncology 2023; 13:1305181",2023,USA,Iowa and New York
NLR and PLR,Other (Blood cell ratios),calculation usingroutinely available blood cell counts,peripheral blood,Predictive,Predict response to olaparib monotherapy,platinum-sensitive relapsed ovarian cancer (PSROC),PFS and OS in patients treated with olaparib,"Tashiro R, et al. Scientific reports 2023",2023,Japan,Tokyo and Chiba
syndecan-2 (SDC2) methylation,DNA,linear target enrichment-quantitative methylation-specific real-time PCR,stool DNA (sDNA),Diagnostic,"Early CRC detection and postoperative surveillance,",colorectal cancer (CRC),High sensitivity (88.6%) for detecting CRC before surgery,"Song JH, et al. World journal of gastrointestinal surgery 2023; 15(9): 2032-2041",2023,South Korea,Daejeon
inflammatory proteins,Protein,multiplex Luminex assay and flow cytometry,"urine, blood, and stool","Prognostic,",Predict patients at risk of late radiation cystitis,localized prostate cancer,Correlation with acute radiation cystitis intensity and QoL,"Helissey C, et al. JMIR research protocols 2023; 12: e38362",2023,France,Saint-Mandé
D-Dimers,Protein,Determined in plasma using COBAS INTEGRA 400,plasma,Prognostic,Prediction of advanced stage and poor outcome,breast cancer (BC),Variability predicting cancer relapse in perioperative period,Cancer Control - journal of the Moffitt Cancer Center 2023,2023,Poland,Wieliszew
Interleukin 14 ? (IL14?),"Protein,",western blot expression analysis,Serum,Predictive,"Predict response to anti-PD-1 therapy,",various advanced solid tumors,Progression-free survival (PFS) and overall survival (OS),"Wang B, et al. Clinical Medicine Insights: Oncology 2023; 17: 1–7",2023,China,Yangzhou
coagulation-related and thrombus-related biomarkers,"Protein,","automatic chemiluminescence immunoassay and coagulation analyzer,",Fasting elbow venous blood,Diagnostic,Identification of lung cancer patients with VTE,lung cancer,Confirmation of VTE in asymptomatic patients via CTPA,"Di W, et al. Thrombosis journal 2023; 21:95",2023,China,Suzhou
serum concentrations of antioxidants,Other (Antioxidant molecules),measured using HPLC,Serum,Prognostic,development of metachronous colorectal adenoma,colorectal adenoma,Odds ratio for development of metachronous adenoma,"Jacobs ET, et al. Nutrition and cancer 2023",2023,USA,Arizona and Texas
on-treatment bTMB levels,DNA,comprehensive circulating tumor DNA profiling by NGS,peripheral blood,Predictive,Predictor for patients treated with ICIs and chemotherapy,advanced non-small cell lung cancer (NSCLC),correlating change in bTMB with change in tumor size,"Han, et al. Journal of cancer research and clinical oncology 2023",2023,China,Shandong
S100A9,Protein,S100A9 analysis in blood correlated with treatment,blood sample,"Prognostic,","biomarker of radioresistance compatible with liquid biopsy,",brain metastasis (BM),local disease control measured by progression-free survival,"Valiente M, et al. ESMO open 2023",2023,Spain,"Madrid (RENACER network),"
